"bigram","rep_n","dem_n","rep_not","dem_not","ps_pvalue","compare","which","sig","app_ratio","R_ratio","D_ratio"
"act definition",8,31,478110,834934,0.0578164421323979,-2.03950336243355e-05,"D",0,-2.03950336243355e-05,0.00167322711129888,0.00371273047373243
"act department",11,55,478107,834910,0.00134661558888451,-4.28641517536028e-05,"D",1,-4.28641517536028e-05,0.00230068727803597,0.00658710245339625
"act designate",31,34,478087,834931,0.0782031387453791,2.41172808509277e-05,"R",0,2.41172808509277e-05,0.00648375505628318,0.00407202697119041
"act director",31,66,478087,834899,0.420250239072822,-1.42076788779232e-05,"D",0,-1.42076788779232e-05,0.00648375505628318,0.0079045229440755
"act division",4,22,478114,834943,0.042922609463575,-1.79822742570906e-05,"D",1,-1.79822742570906e-05,0.000836613555649442,0.0026348409813585
"act effect",41,54,478077,834911,0.207702932505799,2.10795199116319e-05,"R",0,2.10795199116319e-05,0.00857528894540678,0.00646733695424359
"act effective",4,25,478114,834940,0.019363710002693,-2.15752392316704e-05,"D",1,-2.15752392316704e-05,0.000836613555649442,0.00299413747881648
"act effectivedate",3,24,478115,834941,0.0113346796171729,-2.24691181292674e-05,"D",1,-2.24691181292674e-05,0.000627460166737082,0.00287437197966382
"act eligible",1,22,478117,834943,0.00289090783138105,-2.42568759244614e-05,"D",1,-2.42568759244614e-05,0.000209153388912361,0.0026348409813585
"act eliminate",15,23,478103,834942,0.823001004148937,3.82694353174249e-06,"R",0,3.82694353174249e-06,0.00313730083368541,0.00275460648051116
"act enact",28,49,478090,834916,0.999999999999992,-1.22145689342002e-07,"D",0,-1.22145689342002e-07,0.0058562948895461,0.0058685094584803
"act enhance",11,27,478107,834938,0.430860013824698,-9.3298119908583e-06,"D",0,-9.3298119908583e-06,0.00230068727803597,0.0032336684771218
"act ensure",43,83,478075,834882,0.65960051050137,-9.46940706439201e-06,"D",0,-9.46940706439201e-06,0.0089935957232315,0.00994053642967071
"act establish",36,70,478082,834895,0.67213507476075,-8.54062939841156e-06,"D",0,-8.54062939841156e-06,0.00752952200084498,0.00838358494068614
"act expand",16,29,478102,834936,0.999999999997471,-1.26745252829345e-06,"D",0,-1.26745252829345e-06,0.00334645422259777,0.00347319947542711
"act expense",14,37,478104,834928,0.236238281036743,-1.50317602387534e-05,"D",0,-1.50317602387534e-05,0.00292814744477305,0.00443132346864839
"act extend",37,59,478081,834906,0.743188004802358,6.72510939750454e-06,"R",0,6.72510939750454e-06,0.00773867538975734,0.00706616445000689
"act federal",28,77,478090,834888,0.0483876458410361,-3.36564854520866e-05,"D",1,-3.36564854520866e-05,0.0058562948895461,0.00922194343475475
"act fiscal",157,372,477961,834593,0.00150420196565604,-0.000117156836255486,"D",1,-0.000117156836255486,0.0328370820592406,0.0445527656847892
"act follow",11,76,478107,834889,6.92302533877116e-06,-6.80149065756613e-05,"D",1,-6.80149065756613e-05,0.00230068727803597,0.00910217793560209
"act fund",34,51,478084,834914,0.565422901301122,1.00317476623464e-05,"R",0,1.00317476623464e-05,0.00711121522302026,0.00610804045678561
"act grant",4,23,478114,834942,0.0329862173473181,-1.91799292486172e-05,"D",1,-1.91799292486172e-05,0.000836613555649442,0.00275460648051116
"act heading",8,22,478110,834943,0.357793432147118,-9.61613870059615e-06,"D",0,-9.61613870059615e-06,0.00167322711129888,0.0026348409813585
"act ii",14,71,478104,834894,0.000208737218945758,-5.57520299506575e-05,"D",1,-5.57520299506575e-05,0.00292814744477305,0.0085033504398388
"act implement",11,28,478107,834937,0.368796470901652,-1.05274669823849e-05,"D",0,-1.05274669823849e-05,0.00230068727803597,0.00335343397627445
"act improve",36,72,478082,834893,0.572128799779859,-1.09359393814647e-05,"D",0,-1.09359393814647e-05,0.00752952200084498,0.00862311593899145
"act include",42,154,478076,834811,1.82337955669424e-05,-9.65944453519036e-05,"D",1,-9.65944453519036e-05,0.00878444233431914,0.0184438868695095
"act increase",13,30,478105,834935,0.49419603314229,-8.73970918719086e-06,"D",0,-8.73970918719086e-06,0.00271899405586069,0.00359296497457977
"act ingeneral",14,79,478104,834886,3.00749145718586e-05,-6.53332698828702e-05,"D",1,-6.53332698828702e-05,0.00292814744477305,0.00946147443306007
"act insert",11,38,478107,834927,0.0597216961086847,-2.25040168976508e-05,"D",0,-2.25040168976508e-05,0.00230068727803597,0.00455108896780105
"act intelligence",38,16,478080,834949,4.54138045724675e-07,6.03158079222716e-05,"R",1,6.03158079222716e-05,0.0079478287786697,0.00191624798644255
"act introduce",33,54,478085,834911,0.854733247792052,4.34724879864307e-06,"R",0,4.34724879864307e-06,0.0069020618341079,0.00646733695424359
"act iv",3,21,478115,834944,0.0262554676622653,-1.88761531546876e-05,"D",1,-1.88761531546876e-05,0.000627460166737082,0.00251507548220584
"act jointly",0,37,478118,834928,9.32923640011946e-06,-4.43132346864839e-05,"D",1,-4.43132346864839e-05,0,0.00443132346864839
"act june",36,36,478082,834929,0.022980012212339,3.21796403134925e-05,"R",1,3.21796403134925e-05,0.00752952200084498,0.00431155796949573
"act law",26,59,478092,834906,0.315791295861626,-1.62817633828551e-05,"D",0,-1.62817633828551e-05,0.00543798811172137,0.00706616445000689
"act legislation",53,148,478065,834817,0.00389944723136098,-6.64016426223844e-05,"D",1,-6.64016426223844e-05,0.0110851296123551,0.0177252938745935
"act modify",10,22,478108,834943,0.672184234886286,-5.43307092234894e-06,"D",0,-5.43307092234894e-06,0.00209153388912361,0.0026348409813585
"act national",15,40,478103,834925,0.204627025564415,-1.65331913242096e-05,"D",0,-1.65331913242096e-05,0.00313730083368541,0.00479061996610636
"act note",61,131,478057,834834,0.207107189112095,-2.93092366534435e-05,"D",0,-2.93092366534435e-05,0.012758356723654,0.0156892803889983
"act obligate",9,35,478109,834930,0.0410375667438681,-2.30941197013182e-05,"D",1,-2.30941197013182e-05,0.00188238050021125,0.00419179247034307
"act obligation",9,42,478109,834923,0.00830256024335137,-3.14777046420044e-05,"D",1,-3.14777046420044e-05,0.00188238050021125,0.00503015096441168
"act pass",45,75,478073,834890,0.878499491573491,4.29490064606793e-06,"R",0,4.29490064606793e-06,0.00941190250105623,0.00898241243644943
"act pay",6,23,478112,834942,0.117204533922778,-1.499686147037e-05,"D",0,-1.499686147037e-05,0.00125492033347416,0.00275460648051116
"act person",5,23,478113,834942,0.0651704090761061,-1.70883953594936e-05,"D",0,-1.70883953594936e-05,0.0010457669445618,0.00275460648051116
"act plan",6,28,478112,834937,0.0361056535143129,-2.09851364280029e-05,"D",1,-2.09851364280029e-05,0.00125492033347416,0.00335343397627445
"act practice",4,22,478114,834943,0.042922609463575,-1.79822742570906e-05,"D",1,-1.79822742570906e-05,0.000836613555649442,0.0026348409813585
"act president",33,51,478085,834914,0.664270543831666,7.94021377322285e-06,"R",0,7.94021377322285e-06,0.0069020618341079,0.00610804045678561
"act prevent",21,50,478097,834915,0.283044426805623,-1.59605379047338e-05,"D",0,-1.59605379047338e-05,0.00439222116715957,0.00598827495763295
"act program",16,26,478102,834939,0.947070236064512,2.32551244628633e-06,"R",0,2.32551244628633e-06,0.00334645422259777,0.00311390297796914
"act prohibit",26,50,478092,834915,0.779753107568777,-5.50286845911581e-06,"D",0,-5.50286845911581e-06,0.00543798811172137,0.00598827495763295
"act protect",27,61,478091,834904,0.314242871888057,-1.65855394767847e-05,"D",0,-1.65855394767847e-05,0.00564714150063373,0.0073056954483122
"act provide",179,374,477939,834591,0.0533513020639777,-7.35384006778196e-05,"D",0,-7.35384006778196e-05,0.0374384566153125,0.0447922966830945
"act provided",19,28,478099,834937,0.674276242077675,6.20480413060396e-06,"R",0,6.20480413060396e-06,0.00397391438933485,0.00335343397627445
"act provision",25,63,478093,834902,0.147211710543235,-2.31639172380851e-05,"D",0,-2.31639172380851e-05,0.00522883472280901,0.00754522644661752
"act public",179,507,477939,834458,2.42789096385506e-08,-0.000232826514550856,"D",1,-0.000232826514550856,0.0374384566153125,0.0607211080703982
"act purpose",129,242,477989,834723,0.546503819224737,-2.00246362524899e-05,"D",0,-2.00246362524899e-05,0.0269807871696945,0.0289832507949435
"act quickly",16,39,478102,834926,0.323031969500594,-1.32440024435594e-05,"D",0,-1.32440024435594e-05,0.00334645422259777,0.0046708544669537
"act reauthorize",82,92,478036,834873,0.00425436539014945,6.13215196876893e-05,"R",1,6.13215196876893e-05,0.0171505778908136,0.0110184259220446
